id,title,authors,venue,year
29862,"health , fertility , and socioeconomic status as predictors of survival and later health of women : a","l duffy , j menken","unpublished manuscript ,",
29863,theories of chemisorption which incorporate band structure effects,cp demelo,"ph. d. thesis california univ. , santa barbara. ,",1980.0
29864,generation and recognition of formal languages by modifiable grammars,b burshteyn,"acm sigplan notices ,",1990.0
29865,dessis 4.0 manual,"r escoffier , u krumbein , e lyumkis , b polsky , a","ise integrated systems engineering ag , zurich , switzerland ,",
29866,intranasal corticosteroids for asthma control in people with coexisting asthma and rhinitis,"p taramarcaz , pg gibson","cochrane database syst rev ,",2003.0
29867,fundamentals of data element definition,rm curtice,"proceedings of the 1981 acm sigmod international conference & hellip ; ,",1981.0
29868,"dynamics and patterns of deforestation in the western amazon : the napo deforestation front , 1986â ??",r sierra,"applied geography ,",2000.0
29869,swipe : the ip security protocol,"j ioannidis , m blaze , p karn",to,
29870,improving object-oriented analysis,g eckertâ ? ¦,,1994.0
29871,building self-sufficiency in pregnant and parenting teens : final implementation report of project,a branch,,1984.0
29872,a unified characterisation for shared multimedia cscw workspace designs,nn kamel,"information & software technology ,",1999.0
29873,functional and dysfunctional impulsivity : personality and cognitive correlates,sj dickman,"journal of personality and social psychology ,",1990.0
29874,some maximum principles and continuity estimates for fully nonlinear elliptic equations of second,p fok,,1996.0
29875,recombinant factor viia concentrate versus plasma derived concentrates for the treatment of acute,"d hind , m lloyd-jones , m makris , s paisley","cochrane database syst rev ,",2004.0
29876,reaching out : telecollaboration and social studies . pull-out 1 .,"k dawson , j harris","social studies and the young learner ,",1999.0
29877,"hinterberger , h. , sevcik . kc : â ?? ibe grid file : an adapable symmetric multikey file structureâ ??",j nievergelt,acm transactions cm database,
29878,"business rules show power , promise : viewed as an effective new way to identify rule thinking for a/d",e gottesdiener,"application development trends ,",1997.0
29879,a compressmn techtuque for large stattsttcal databases ',"s eggers , f olken , a shosham",proc,
29880,experimental comparison of multistage networks,"s konstantinidou , e upfal","ibm , almaden research center report rj ,",
29881,process control simulation research in monitoring analog and digital displays,"rh hanson , dg payne , r shively , b kantowitz","proceedings of the human factors society 25 thannual meeting ,",
29882,the interaction of clouds with the surrounding aerosol environment,ip mazin,"meteorologiia i gidrologiia ,",1982.0
29883,real time : further misconceptions ( or half-truths ),r kurki-suonio,,
29884,stat -- a state transition analysis tool for intrusion detection,p porras,,1993.0
29885,improved formulations for the uncapacitated multiple allocation hub location problem,"l canovas , m landete , a marä ± n",submitted for,
29886,performance simulation of an alpha microprocessor,"j edmonson , m reilly","ieee computer ,",
29887,state and parameter estimation for overall systems,jf de souza,"& hellip ; of american control conference , seattle , washington ,",1995.0
29888,bisphosphonates for steroid induced osteoporosis,"j homik , a cranney , b shea , p tugwell , g wells , r","cochrane database syst rev ,",2000.0
29889,a methodology for modeling interprocessor traffic in shared memory multiprocessors,"j torrellas , t weil , j hennessy","stanford university technical report no . csl-tr-89-385 , july",
29890,"t.â ?? papatheodourou , evaluation of hypermedia application development and management systems , â ??","s christodoulou , g styliaras",proceedings of acm hypertext â ?? 98,
29891,a common instructor operator station framework : enhanced usability and instructional capabilities,"mm walwanis nelson , jm owens , dg smith , ml","& hellip ; rom ] , proceedings of the 25 thinterservice/industry training",
29892,sensor-based wireless network for smart developmental problem-solving environments,"m srivastava , r muntz , m potkonjak","proc . acm mobicom ,",
29893,prism : indexing multi-dimensional data in p2p networks using reference vectors,"od sahin , a gulbeden , f emekci , d agrawal , a el","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
29894,search via laser receivers for interstellar communications,m ross,"proc . ieee ,",
29895,"lh * -- a scalable , distributed data structure","w litwin , ma neimat , da schneider","acm transactions on database systems ,",1996.0
29896,a logical framework for active rules,"b ludascher , u hamann , g lausen",,
29897,how to summarize the universe : dynamic maintenance of quantiles in intl,"a gilbert , y kotidis , s muthukrishnan , m strauss","conf . on very large databases ( vldb ) , hong kong , china , aug ,",
29898,icon editor : the specification of graphic behavior without coding,"m rosenstein , l weitzman","proceedings of the 23rd annual hawaii international & hellip ; ,",
29899,relationship between subsurface geohydrologic investigation and siting of upland disposal sites /,"ca coch , jf tavolaro","water quality 88 : seminar proceedings . february 23-25 1988 , & hellip ; ,",1988.0
29900,ground ash densities in minas geraisâ ?? brazil,"jh diniz , am carvalho , lcl cherchiglia , wj souza ,","proceedings of the 23rd international conference on & hellip ; ,",
29901,discovery of a perceptual distance function for measuring image similarity,"ble chang , y wu","proc . acm multimedia ,",
29902,reasoning about functional dependencies generalized for semantic data models,ge weddell,"acm transactions on database systems ,",1992.0
29903,implementing a star1 chip,mr greenstreet,,
29904,method engineering for multi-perspective software development,"b nuseibeh , a finkelstein , j kramer",,
29905,rp3 performance monitoring hardware,"wc brantley , kp mcauliffe , ta ngo","acm press , new york ,",1989.0
29906,special libraries-how to survive in the twenty-first century,r wittwer,"electronic library ,",2001.0
29907,1 : programming with unicode,p nt,,
29908,distance-regular graphs related to uq ( sl ( 2 ) ),"b curtin , k nomura",,
29909,radarsat-1 sar for hurricane watch,"pw vachon , pg black , p dodge , ka katsaros , p",,
29910,larger sperm outcompete smaller sperm in the nematode caenorhabditis elegans,"cw lamunyon , s ward","proceedings : biological sciences ,",1998.0
29911,free-radical-mediated liver injury,gl plaa,"see ref ,",
29912,toward a classification scheme for software process modelling approaches,ir mcchesney,"information and software technology ,",1995.0
29913,the d-tree : an index structure for planar point queries in location-based wireless services,dl lee,"ieee transactions on knowledge and data engineering ,",2004.0
29914,three practical strategies for peer consultation,bj millis,"new directions for teaching and learning ,",1999.0
29915,25 of all web spending goes for intranets,s machlis,,
29916,transparency and awareness in a real-time groupware system,"m beaudouin-lafon , a karsenty","proceedings of the 5th annual acm symposium on user & hellip ; ,",1992.0
29917,analysis of plasma edge profiles at jet,"mna beurskens , e giovannozzi , j gunn , y andrew , m",,
29918,finite element method for optimal control problems governed by integral equations and integro -,"h brunner , n yan",,
29919,emergence of leadership and its impact on group performance in virtual team environments : a field,"y yoo , m alavi",,
29920,indexing multiple sets,"c kilger , g moerkotte","vldb ,",1994.0
29921,improved steiner tree approximation in graphs,"g robins , a zelikovsky",,
29922,do story agents use rocking chairs ?,km brooks,,
29923,context management in modeling information systems ( is ),"b garner , r raban","information and software technology ,",1999.0
29924,coming to terms with mother nature : using the web to educate children about natural disasters,"mj berson , ir berson","social studies and the young learner ,",1999.0
29925,programming microsoft office 2000 web components,d stearns,,1999.0
29926,pion-nucleon sigma-term and the strange quark content of the proton ( abstract only ),"j gasser , h leutwyler , me sainio","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
29927,application of the new production theory to construction .,l koskela,,1992.0
29928,testing and reporting on graduates : the new jersey basic skills assessment program .,ad lutkus,"new directions for teaching and learning ,",1985.0
29929,choosing an appropriate buffer strategy for an optical packet switch with a feed-back fdl buffer,"c develder , m pickavet , p demeester","proc . 28th european conf . on optical communication ,",
29930,"maier 1991 : t. keller , g. graefe , and d. maier , efficient assembly of complex objects",g keller,proc . acm sigmod,
29931,the achievement motive in women : implications for career development,r baruch,"journal of personality and social psychology ,",1967.0
29932,expansion of concrete through reaction between cement and aggregate,te stanton,"proc . asce ,",
29933,modeling design versions,"r ramakrishnan , dj ram","proceedings of the 22th international conference on very & hellip ; ,",1996.0
29934,modeling of imaging systems in matlab,"s vitek , j hozman",,
29935,"rs , and stoy , j. 1996 . lambda-s : an implicitly parallel lambda-calculus with letrec , synchronization","m arvind , n jw","technical report ( nov ) , mit laboratory for computer science .",
29936,analysis of nonlinear systems with multiple inputs,"jj bussgang , l ehrman , jw graham","ieee , proceedings ,",1974.0
29937,congestion pricing overlaid on edge-to-edge congestion control,"m yuksel , s kalyanaraman , a goel",,
29938,informal and incidental learning,"vj marsick , ke watkins","new directions for adult and continuing education ,",2001.0
29939,â ?? institution building process in bangladesh .,"d choudhury , am hasanuzzaman , g hossain","bangladesh at ,",
29940,positive scalar curvature metricsâ ?? existence and classification,s stolz,"proc . intern . congress math. , zurich , switzerland ,",
29941,modeling the primary productivity of the world,h lieth,"primary productivity of the biosphere ,",1975.0
29942,marketing for electronic market places : the relevance of two '' critical points of success '',t kollmann,,
29943,controlled trial of 1-alpha-hydroxycholecalciferol in chronic renal failure,"l tougaard , j brochner-mortensen , ms christensen ,","lancet i ,",1976.0
29944,interventions targeted at women to encourage the uptake of cervical screening,"c forbes , r jepson , p martin-hirsch","cochrane database syst rev ,",2002.0
29945,software prototypingâ ?? progress and prospects,"dc ince , s hekmatpour","information and software technology ,",1987.0
29946,prefetch injection based on hardware monitoring and object metadata,"ar adl-tabatabai , rl hudson , mj serrano , s",,
29947,"h. , and dolphin , d. ( 1976 )",r abeles,acc . chem .,
29948,"undecidability of the reachability problem for o-minimal hybrid systems , 2005",t brihaye,,
29949,natural hazard in human ecological perspective : hypotheses and models,rw kates,"economic geography ,",1971.0
29950,highly pumped inverted balmer and lyman populations,"rl mills , p ray , rm mayo",,
29951,"e. galleani d'agliano , and r. julien",b coqblin,"proceedings of the conference on superconductivity in d and & hellip ; ,",
29952,for the pierre auger collaboration,r clayâ ? ¦,"proc . 28th icrc , ( tsukuba , japan , 2003 )",
29953,equation of state and structural changes in diaminodinitroethylene from experimental studies and ab,"m suhithi , p chak , m maijaâ ? ¦","san diego , california ,",
29954,the organization of perception and action,dg mackay,,
29955,the maximum rate of evaporation of water,t alty,"phil . mag ,",
29956,rough sleeping in wales-housing research report hr1/00,p bevan,"isbn ,",
29957,video2cartoon : generating 3d cartoon from broadcast soccer video,"d liang , y liu , q huang , g zhu , s jiang , z zhang ,",,
29958,"the wealth of nations , the modern library",a smith,"new york ,",
29959,improvement of luminance and luminance efficiency in pdpâ ?? s driven by radio frequency pulses,"j kang , wg jeon , od kim , jw song , jp boeuf , mh",proc . int . display,
29960,new proposal for a common command language in information systems,"y vander auwera , l bernard","acm sigmod record ,",1982.0
29961,"e1 abbadi , a. , and jeffers , r. an approach to eliminate transaction blocking in locking protocols",d agrawal,proceedings of the acm sigmod-sigact symposium on principles,
29962,"the cause and nature ofradioactivityi , ii '","e rutherford , f soddy","phil . mag ,",
29963,maintenance of multidimensional histograms,"s muthukrishnan , m strauss",,
29964,data conversion from object-oriented to relational database and its verification by use of,r pang,,
29965,continual permutations of action,al strauss,,1993.0
29966,"digital homesâ ?? for richer for poorer , who are they for ?",pa rout,"bt technology journal ,",2002.0
29967,a subspace rotation approach to signal parameter estimation,"a paulraj , r roy , t kailath","ieee , proceedings ,",1986.0
29968,aggregate instability in the fixed-cost approach to public spending,pa pintus,,2003.0
29969,privacy-preserving data mining,"r agrawal , r srikant",,
29970,multisafe - a modular multiprocessing approach to secure database management .,"rp trueblood , hr hartson , jj martin","acm transactions on database systems ,",1983.0
29971,theory and development of a simple turbine as a prime mover for utilization of solar energy,bs leo,,1959.0
29972,generating a prototype from a uml model of system requirements,"x li , z liu , j he","submitted for publication ,",2003.0
29973,blood and serum group and other genetical characters of some endogamous muslim groups,sma hakim,,1971.0
29974,performance of tcp/ip over next generation broadband wireless access networks,"i stojanovic , m airy , d gesbert , h saran",,
29975,evaluated phase diagrams of binary metal -- tellurium systems of the d-block transition elements,", sr bharadwaj",,1989.0
29976,regulation of interaction of the acetyltransferase region of p300 and the dna-binding domain of sp1,"t suzuki , a kimura , r nagai , m horikoshi","genes to cells ,",2000.0
29977,"jacquet , r. & hirsh-pasek , k. ( 1993 ) . lexical principles underlie verb learning",rm golinkoff,unpublished,
29978,injection molding of metals and ceramic [ j ],"m randall , ab german","isbn ,",
29979,editors ' notes,"pj gray , tw banta","new directions for higher education ,",
29980,"guangr . gao , herbert hj hum , kevin theobald , and xin-min tian . polling watchdog : combining polling",o maquelin,"proceedings of the 23rd annual international symposium on & hellip ; ,",
29981,"park , 0 . a framework for effective retrieval","ct yu , w meng","acm trans . database syst ,",
29982,the university presidency today : a word for the incumbents .,s muller,"new directions for higher education ,",1988.0
29983,achieving dynamic interfaces with agent concepts,"t juan , l sterling",,
29984,database partitioning in a cluster of processors,"d sacca , g wiederhold","acm transactions on database systems ,",1985.0
29985,distinctiveness-sensitive nearest-neighbor search for efficient similarity retrieval of multimedia,"n katayama , s satoh","& hellip ; , 2001 . proceedings . 17th international conference on ,",2001.0
29986,atic experiment : elemental spectra from the ight in 2000,"hs ahn , jh adams , g bashindzhagyanâ ? ¦","proc . 28th int . cosmic ray conf. , tsukuba ,",
29987,soil erosion in the west midlands : an act of god or agricultural mismanagement,"i foster , s harrison , d clark","geography ,",1997.0
29988,anda . shukla . simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , pm deshpande , jf naughton",proceedings of the 1998 acm-sigmod,
29989,workfile disk management for concurrent mergesorts in a multiprocessor database system,"kl wu , ps yu , jy chung , jz teng","distributed and parallel databases ,",2000.0
29990,linear prediction of speech,"jd markel , ah gray",,
29991,gamma-rays and ionizing component during thunderstorms at gran sasso,"m aglietta , b alessandro , p antonioli , f arneodo ,",,
29992,formac session,tj bergin,"history of programming languages -- ii table of contents ,",1996.0
29993,the impact of wages and school characteristics on teacher mobility and retention,"b scafidi , d sjoquist , t stinebrickner","unpublished manuscript ,",
29994,finnish space projects : space astronomy ( abstract only ),o vilhu,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
29995,reducing power consumption and enhancing performance by direct slave-to-slave and group,"c de morais cordeiro , s abhyankar , dp agrawal","computer networks ,",2004.0
29996,medisyn : a synthetic streaming media service workload generator,"w tang , y fu , l cherkasova , a vahdat",,
29997,metabolism of cyclosporine,g maurer,transplant,
29998,modular synchronization in multiversion databases,"d agrawal , s sengupta","proceedings of sigmod ,",
29999,mechanisms for flexible representation and use of knowledge in user modeling shell systems,"w pohl , j hoehle","courses and lectures-international centre for mechanical & hellip ; ,",1997.0
30000,statstream : statistical monitoring of thousands of data streams in real time,"y zhu , d shasha","vldb ,",2002.0
30001,wavelet shinkage wvd-a ten minutes tour,dl donoho,"technical report tr-416 , statistics department , stanford",
30002,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , ma jeusfeld , m staudt , y vassiliou","sigmod record ,",1999.0
30003,fuzzy logic enhanced electrochemical impedance spectroscopy ( fleeis ) to determine battery soc,"p singh , c fennie , de reisner",,
30004,minimal probing : supporting expensive predicates for top-k queries,"kcc chang , s hwang","sigmod conference ,",2002.0
30005,mining concept-drifting data streams using ensemble classifiers,"h wang , w fan , ps yu , j han","proceedings of the ninth acm sigkdd international conference & hellip ; ,",2003.0
30006,an analysis of storage utilization factor in block split data structuring scheme,"t nakamura , t mizoguchi","vldb ,",
30007,mobile agents : ten reasons for failure ( panel ),g vigna,"& hellip ; conference on mobile data management ( mdmâ ?? 04 ) , berkeley ( & hellip ; ,",
30008,the limits to globalization : technology districts and international trade,m storper,"economic geography ,",1992.0
30009,detection of normal and pathological fetal states by means of neural and fuzzy classifiers applied,"g magenes , d arduini",,
30010,fusion amont en detection de sources ponctuelles,a ayoun,proceedings des journees thematiques en fusion dâ ??,
30011,suicidal behaviors questionnaire,mm linehan,"& hellip ; inventory , university of washington , seattle , washington ,",1981.0
30012,wild relatives as sources of disease resistance,"jj burdon , am jarosz","see ref ,",
30013,large scale enterprise atm node with per-vc traffic control,"n endo , t aimoto , t yazaki , t nishijima","computer networks ,",1999.0
30014,photo time stamp recognition,xr chen,,2001.0
30015,special issue on advanced user interfaces for database systems,y ioannidis,"acm sigmod record ,",
30016,reversible blindness associated with alcoholic ketoacidosis : pseudomethanol intoxication-visual loss,"c feeney , m muller , s bryzman , t nakada","journal of emergency medicine ,",1998.0
30017,"faulting and uplift of the northern channel islands , california",cc sorlien,"the fourth california islands symposium : update on the & hellip ; ,",1994.0
30018,statistical grid-based clustering over data streams,"nh park , ws lee","sigmod record ,",2004.0
30019,"microsoft sql server 2000 resource kit , chapter rdbms performance tuning guide for data warehousing","jh miller , h lau","microsoft press ,",
30020,efficient retrieval of similar shapes,"d rafiei , ao mendelzon","the vldb journal the international journal on very large & hellip ; ,",2002.0
30021,word for word,d haskins,pc,
30022,super-symmetric decomposition of the fourth-order cumulant tensor . blind identification of more,jf cardoso,,
30023,image data compression - a review,ak jain,"ieee , proceedings ,",1981.0
30024,prior knowledge and preferential structures in gradient descent learning algorithms,"re mahony , rc williamson","journal of machine learning research ,",2001.0
30025,"garcia-mâ ? cents lina , h , scheduling real-time transactions : a performance acm transactions on database",r abbott,"proceedings of the 14th vldb conference ( los angeles , aug. 29",
30026,modelling temporal data,au tansel,"information and software technology ,",1990.0
30027,improved service top-cited outsourcing goal .,"j vijayan , t hoffman","computerworld ,",
30028,an early implementation of a davic v1 . 0 systemâ ?? use of dynamic connections for interactive,"pw reece , rd macey , ri miles , ri galbraith","bt technology journal ,",1998.0
30029,a smart start to service-learning,ms rubin,"new directions for higher education ,",2001.0
30030,rpm : a rapid prototyping engine for multiprocessors,"l barroso , j jeong , k oner , k ramamurthy , m dubois","ieee computer ,",
30031,a service learning approach to faculty development,e zlotkowski,"new directions for teaching and learning ,",1998.0
30032,vascular smooth muscle and neurohypophyseal hormones,"bm altura , bt altura","fed proc ,",1977.0
30033,buffering database operations for enhanced instruction cache performance .,"j zhou , ka ross","proc . sigmod ,",2004.0
30034,weighted hypertree decompositions and optimal query plans,"f scarcello , g greco , n leone",,
30035,static analysis of concurrent communicating loops,"pb ladkin , bb simons","technical report rj 8625 , ibm almaden research center , feb",
30036,il trattamento delle varianti hello spoglio elelttronico di un testo . una prova sui carmina di,"a bozzi , a nikolova , g cappelli , g giuliani","md ,",
30037,autonomous interface agents ( lokal ),h lieberman,,1997.0
30038,multiagent reinforcement learning in stochastic games,"j hu , mp wellman","submitted for publication ,",1999.0
30039,qos control in arts/fddi continuous media communications,"y tobe , h tokuda , stc chou , jmf moura","proceedings of acm sigcomm ,",
30040,"global epidemic of human t-cell lymphotropic virus type-i ( htlv-i ) - pathophysiology , prevention , and","rf edlich , ja arnette , fm williams","journal of emergency medicine ,",2000.0
30041,obtaining confidence measures from sentence probabilities,b rueber,proc .,
30042,baring it all to software : raw machines,a agarwalâ ? ¦,"ieee computer ,",
30043,kay : e865 monte-carlo,s pislak,"zurich , switzerland ,",
30044,knowledge-based support for requirements engineering,"p loucopoulos , rem champion","information and software technology ,",1989.0
30045,analysis and simulation of a fair queueing algorithm,"a derners , s keshav , s shenker","proceedings of acm sigcomm , pages ,",
30046,a model to query documents by contents and structure,"g navarro , r baeza-yates","proc . acm sigir ,",
30047,"an introduction to enumeration and graph theory , 2002","m bona , awt combinatorics",,
30048,distributed multimedia databases : techniques and applications,tk shih,,2002.0
30049,individual differences in internal state awareness : a neural model of neuroticism,"ni eisenberger , md lieberman","submitted for publication ,",
30050,the electronic commerce trials platform,"pj wittgreffe , c dix","bt technology journal ,",1999.0
30051,lawrenece page . the anatomy of a lorge-scale hypertextual web search engine [ c ],s brin,"the seventh international world wide web conference ,",
30052,shape priors for level set representations,"m rousson , n paragios","lecture notes in computer science ,",2002.0
30053,"probabilistic temporal databases , i","a dekhtyar , r ross , vs subrahmanian","acm transactions on database systems ,",
30054,rj dempster och rw reed,ss blackman,demonstration of multiple hypothesis tracking ( mht ),
30055,palenque : an interactive multimedia digitalvideointeractive prototypeforchildren,ks wilson,proc . acm,
30056,an overview of data warehouse and olap technology,"s chauduri , u dayal","sigmod record ,",
30057,on first-order-logic databases .,h rybinski,"acm transactions on database systems ,",1987.0
30058,adaptive-level memory caches on world wide web servers,"c da-wei , k hao-ren , c rui-chuan","computer networks ,",
30059,cardosin b is an aspartic proteinase expressed at the extracellular matrix of the transmitting,"m vieira , j pissarra , p verissimo , p castanheira ,",,1999.0
30060,an exact solution of the spherical blast wave problem,jl taylor,"phil . mag ,",
30061,database estimation evaluation using multiple regression techniques,j fedorowicz,"proc acm sigmod conference , boston , usa ,",
30062,design and analysis of composite material vessels . ( retroactive coverage ),"d hui , tj kozik",,1987.0
30063,determination of rare earth elements in environmental samples using inductively coupled plasma mass,"vk panday , k hoppstock , js becker , hj dietze","at . spectrosc ,",
30064,incidence and student response to faculty teaching norm violations,"jm braxton , m rogers mann","new directions for teaching and learning ,",2004.0
30065,"fikeset . al. knowledgeinterchangeformat , version3",m geneserethandr,"0referencemanual . technical report , computer science department ,",
30066,"online aggregation , acm sigmod int","jm hellerstein , pj haas , hj wang","conference on management of data ,",
30067,imperialism : the highest stage of capitalism,vi lenin,,
30068,the interpreted-compiled range of ai/db systems .,acms anthology,"sigmod record ,",1989.0
30069,prohexadione-ca-a new plant growth regulator for apple with interesting biochemical features . p. 113,"w rademacher , jb speakman , rr evans , jr evans , s","proceedings of the 25 thannual meeting of the plant growth & hellip ; ,",
30070,the efficacy of gloss for the text database discovery problem,"l gravano , a tomasic",,
30071,intergenerational progress of mexican-origin workers in the us labor market,sj trejo,,
30072,signature les : design and performance comparison of some signature extraction methods,c faloutsos,proc .,
30073,m. and billsus,gp webb,"d. machine learning for user modeling . user modeling and & hellip ; ,",
30074,conference overview : first national conference on software engineering,p hsia,"ieee computer ,",
30075,on the goal-dependence of automatic attitude activation : a model of affective priming by two,"kc klauer , j musch","unpublished manuscript ,",1998.0
30076,marital interaction : physiological linkage and affective exchange,"rw levenson , jm gottman","journal of personality and social psychology ,",1983.0
30077,m-tree : an efficient access method for similarity search in metrix spaces,"p ciacca , m patella , p zezula","proceedings of the 23rd international conference on very & hellip ; ,",
30078,a scrape-off layer based density limit for jet elmy h-modes,"k borrass , j lingertat , r schneider","contributions to plasma physics ,",1998.0
30079,"pat-a reliable path following algorithm , aug. 2000","d mezher , b philippe",submitted for,
30080,jp airline-fleets international 98/99 32 ndedition and 99/2000,u klee,,
30081,toward creating an international technology transfer paradigm,rd robinson,"see ref ,",
30082,a model of queries for object-oriented databases,w kim,"vldb ,",1989.0
30083,"struct . bonding 2000 , 97 , 91 ; d. schrã ¶ der , s. shaik , h. schwarz",d schrã ¶ der,"acc . chem . res ,",
30084,tick size and market quality,"dc porter , dg weaver","financial management ,",1997.0
30085,spectroscopic study of highly stable novel inorganic hydrides from aqueous electrolysis and plasma,"r mills , e dayalan , p ray , b dhandapani , j he",,
30086,emotional intelligence : in search of an elusive construct,"m davies , l stankov , rd roberts","journal of personality and social psychology ,",1998.0
30087,bipolar nickel-metal hydride aircraft battery,"m eskra , p ralston , m klein , w johnson , j erbacher",,
30088,an occurrence of cryptostigmatic mite around syowa station area,"y ohyama , h sugawara","proc . int . symp . antarct . rec ,",
30089,clinical effects of intravenously administered dantrolene .,"d wedel , j quinlan , p iaizzo","journal of emergency medicine ,",1995.0
30090,"states , dj 1994 . the repeat pattern toolkit ( rpt ) : analyzing the structure and evolution of the c.",p agarwal,proc .,
30091,"foraging , ranging , and nesting behavior of stellerâ ?? s jays in western washington",sm vigallon,,2003.0
30092,a framework for determining efficient management configurations,"h abdu , h lutfiyya , ma bauer","computer networks ,",2004.0
30093,wf 2 q : worst-case fair weighted fair queueing,"j bennet , h zhang","proc . infocom ,",
30094,palladium-catalyzed-arylation of carbonyl compounds and nitriles,"da culkin , jf hartwig","acc . chem . res ,",2003.0
30095,fast multislice b 1-mapping,"s topp , e adalsteinsson , dm spielman","proc int soc magn reson med ,",
30096,regular tree languages over non-ranked alphabets,"a bruggemann-klein , m murata , d wood","unpublished manuscript ,",1998.0
30097,laser beam welding of zinc-coated sheets and quality control,"r imhoff , k behler , e beyer , d maischner","& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,",1992.0
30098,pep version 2.0,c stehno,,
30099,persistent acute otitis media : i. causative pathogens .,"m pichichero , c pichichero","journal of emergency medicine ,",1995.0
30100,microsoft windows security resource kit,"b smith , b komar",,2003.0
30101,bounded ignorance : a technique for increasing concurrency in a replicated system,"n krishnakumar , aj bernstein","acm transactions on database systems ,",1994.0
30102,ackoffâ ?? s fables,rl ackoff,"isbn ,",
30103,educating feminists : life histories and pedagogy .,s middleton,,1993.0
30104,seattle washington.â ??,m transit,"riderlink demonstration project evaluation report.â ?? & hellip ; ,",
30105,zezula pm-tree : an efficient access method for similarity search in metric spaces [ c ],"p ciaccia , m patella","proc of vldb ,",
30106,guest editorial wireless ad hoc networks,"zj haas , m gerla , db johnson , ce perkins , mb","selected areas in communications , ieee journal on ,",1999.0
30107,a rule-based language for programming software updates,"m erwig , d ren",,
30108,adaptive multi-stage distance join processing,"h shin , b moon , s lee","proceedings of the 2000 acm sigmod international conference & hellip ; ,",2000.0
30109,integral variable structure control approach for robot manipulators,tl chern,,
30110,automated authoring of coherent multimedia discourse in conversation systems,"mx zhou , s pan",,
30111,'' the comedian as the letter c '',f murphy,"wisconsin studies in contemporary literature ,",1962.0
30112,matrix metalloproteinases and metastasis,"de kleiner , wg stetler-stevenson","cancer chemotherapy and pharmacology ,",1999.0
30113,web services selection for distributed composition of multimedia content,"m wagner , w kellerer","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
30114,the decomposition of leaves in two southern california streams,sd hart,,1975.0
30115,taking the distance out of education,mm watts,"new directions for teaching and learning ,",2003.0
30116,multiple-instance learning of real-valued data,"ra amar , dr dooly , sa goldman , q zhang",,
30117,development of a bipolar element for pe-fuel cells,"fn bã 1/4 chi , m ruge",demonstration in,
30118,a typology of elderly migration based on the decision making process,"rf wiseman , cc roseman","economic geography ,",1979.0
30119,recent bt patents,acc brennan,"bt technology journal ,",2001.0
30120,temporal data management,a shoshani,"vldb ,",1986.0
30121,"jh and blott , s. : a quantitative analysis and performance study for similarity-search methods in",rs weber,proceedings of 24th international conference on very large,
30122,women and medicare,kf foundation,,2001.0
30123,"acfa cryst. , 1952 , 5,670 ; jm robertson",ca beevers,"phil . mag ,",
30124,good advice cheap,"ae alter , r saia","computerworld ,",
30125,"violations of stochastic dominance , branch independence , upper and lower cumulative independence in","mh birnbaum , s yeary",submitted for,
30126,michael tan . data caching and replacement,"s dar , mj franklin , bã ? jã ³ nsson , d srivastava","proc . very large data bases conference , bombay , india ,",
30127,may 2001b . software engineering metrics for cots-based systems,"s sedigh-ali , a ghafoor , ra paul",ieee,
30128,demo . griddb : a relational interface to the grid,"dt liu , mj franklin , d parekh","sigmod . june ,",
30129,partitioning sparse rectangular matrices for parallel processing,tg kolda,"lecture notes in computer science ,",1998.0
30130,coma-asystemforflexiblecombinationofschemamatchingapproaches,"h do , e rahm","proceedings of the 28th vldb conference , hong kong , china (",
30131,"anterior process fracture or calcaneus secundarius : a case report-part i : anatomy , injury mechanism ,",jc hodge,"journal of emergency medicine ,",1999.0
30132,fatal tetanus in a drug abuser with '' protective '' antitetanus antibodies,"fm abrahamian , cv pollack jr , f lovecchio , r nanda","journal of emergency medicine ,",2000.0
30133,an experimental study of the placement of an aircraft inside a large welded zinc-plated steel,"pa johnson , kr goldsmith","seattle , washington , usa , november ,",
30134,needs assessment : concept and practice,"m scriven , j roth","new directions for program evaluation ,",
30135,"sarin , â ?? 8 efficient monitoring of database assertions",hs hammer,"proc . acm conf . on management of data-extension , may ,",
30136,new models for the formation of linear sand dunes,i livingstone,"geography ,",
30137,dynamic planar warping for optical character recognition,"e levin , r pieraccini",,
30138,"a single nine-amlno acid peptide induces virus-specific , cd8 + human cytotoxic t lymphocyte clones of","j zivny , i kurane , am leporati , ma brinton , fa",,
30139,hypertext systems and applications,"pav hall , s papadopoulos","information and software technology ,",1990.0
30140,"y fernã ¡ ndez-chamizo , c. : 1997 , un enfoque basado en conocimiento para la reutilizaciã ³ n de","m gã ³ mez-albarrã ¡ n , p gonzã ¡ lez-calero",procs . of the conferencia de la asociaciã ³ n espaã ± ola para,
30141,relaxed currency and consistency : how to say '' good enough,"h guo , pa larson , r ramakrishnan , j goldstein","sql . sigmod conference ,",
30142,sagas,"h garcia-monina , k salem","proc . acm-sigmod international conference on management of & hellip ; ,",
